CountryCode,iyear,nkill,nattacks
AFG,1973,0.0,1
AFG,1979,53.0,3
AFG,1987,0.0,1
AFG,1988,128.0,11
AFG,1989,10.0,10
AFG,1990,12.0,2
AFG,1991,68.0,30
AFG,1992,49.0,36
AFG,1994,22.0,9
AFG,1995,5.0,6
AFG,1996,31.0,4
AFG,1997,4.0,1
AFG,1998,8.0,1
AFG,1999,39.0,9
AFG,2000,38.0,14
AFG,2001,174.0,14
AFG,2002,74.0,38
AFG,2003,163.0,100
AFG,2004,275.0,88
AFG,2005,367.0,155
AFG,2006,736.0,283
AFG,2007,1201.0,342
AFG,2008,1092.0,414
AFG,2009,1065.0,503
AFG,2010,1157.0,542
AFG,2011,1525.0,421
AFG,2012,3521.0,1469
AFG,2013,3709.0,1443
AFG,2014,5414.0,1824
AFG,2015,6216.0,1928
AFG,2016,6141.0,1616
AFG,2017,6095.0,1415
AFG,2018,9812.0,1776
AFG,2019,8249.0,1804
AGO,1977,0.0,1
AGO,1978,0.0,2
AGO,1979,19.0,3
AGO,1981,3.0,1
AGO,1982,2.0,2
AGO,1983,282.0,7
AGO,1984,179.0,11
AGO,1985,6.0,6
AGO,1986,119.0,5
AGO,1987,5.0,3
AGO,1988,145.0,12
AGO,1989,88.0,12
AGO,1990,147.0,205
AGO,1991,69.0,16
AGO,1992,97.0,50
AGO,1994,108.0,9
AGO,1995,52.0,10
AGO,1996,18.0,4
AGO,1997,34.0,7
AGO,1998,275.0,20
AGO,1999,299.0,34
AGO,2000,178.0,22
AGO,2001,846.0,40
AGO,2002,59.0,6
AGO,2009,2.0,1
AGO,2010,4.0,2
AGO,2016,0.0,2
AGO,2017,7.0,6
AGO,2019,5.0,1
ALB,1981,0.0,1
ALB,1990,0.0,1
ALB,1991,0.0,1
ALB,1992,1.0,3
ALB,1994,1.0,2
ALB,1996,7.0,6
ALB,1997,26.0,41
ALB,1998,0.0,7
ALB,1999,6.0,3
ALB,2000,0.0,2
ALB,2001,0.0,1
ALB,2003,0.0,1
ALB,2009,0.0,1
ALB,2013,0.0,1
ALB,2014,1.0,2
ALB,2015,0.0,4
ALB,2016,0.0,2
ALB,2017,0.0,1
ALB,2019,0.0,1
AND,1974,0.0,1
ARE,1974,1.0,1
ARE,1977,1.0,1
ARE,1978,5.0,1
ARE,1979,0.0,2
ARE,1980,1.0,1
ARE,1981,2.0,3
ARE,1983,111.0,1
ARE,1985,0.0,2
ARE,1986,0.0,1
ARE,1989,1.0,1
ARE,1992,0.0,1
ARE,1995,0.0,2
ARE,2010,0.0,2
ARE,2013,0.0,1
ARE,2014,1.0,2
ARG,1970,5.0,21
ARG,1971,5.0,7
ARG,1972,5.0,20
ARG,1973,16.0,60
ARG,1974,21.0,71
ARG,1975,123.0,38
ARG,1976,122.0,54
ARG,1977,7.0,17
ARG,1978,13.0,25
ARG,1979,11.0,16
ARG,1980,0.0,6
ARG,1981,0.0,2
ARG,1982,1.0,9
ARG,1983,1.0,18
ARG,1984,1.0,46
ARG,1985,2.0,43
ARG,1986,2.0,33
ARG,1987,3.0,80
ARG,1988,1.0,33
ARG,1989,26.0,32
ARG,1990,1.0,31
ARG,1991,1.0,27
ARG,1992,33.0,41
ARG,1994,86.0,14
ARG,1995,0.0,16
ARG,1996,1.0,19
ARG,1997,3.0,11
ARG,1999,0.0,1
ARG,2001,0.0,2
ARG,2003,0.0,1
ARG,2005,0.0,3
ARG,2009,0.0,1
ARG,2010,0.0,5
ARG,2011,0.0,1
ARG,2012,0.0,2
ARG,2013,0.0,2
ARG,2014,0.0,1
ARG,2015,0.0,1
ARG,2016,0.0,2
ARG,2017,0.0,3
ARG,2018,0.0,5
ARG,2019,2.0,1
ARM,1991,0.0,1
ARM,1992,2.0,2
ARM,1994,15.0,4
ARM,1995,2.0,1
ARM,1996,2.0,1
ARM,1998,0.0,2
ARM,1999,8.0,2
ARM,2000,0.0,2
ARM,2001,1.0,2
ARM,2007,0.0,1
ARM,2009,1.0,1
ARM,2013,0.0,1
ARM,2015,0.0,2
ARM,2016,6.0,2
ARM,2018,0.0,1
ATG,1992,0.0,1
AUS,1970,0.0,1
AUS,1971,0.0,1
AUS,1972,1.0,8
AUS,1974,0.0,1
AUS,1978,2.0,2
AUS,1979,0.0,2
AUS,1980,2.0,6
AUS,1981,1.0,1
AUS,1982,0.0,2
AUS,1986,1.0,2
AUS,1988,0.0,3
AUS,1989,0.0,2
AUS,1991,0.0,4
AUS,1992,1.0,4
AUS,1994,3.0,9
AUS,1995,0.0,5
AUS,1996,2.0,5
AUS,1997,0.0,4
AUS,1998,0.0,6
AUS,2000,0.0,1
AUS,2001,0.0,2
AUS,2006,0.0,2
AUS,2008,0.0,1
AUS,2009,0.0,1
AUS,2010,0.0,1
AUS,2013,0.0,1
AUS,2014,4.0,8
AUS,2015,2.0,12
AUS,2016,0.0,9
AUS,2017,4.0,4
AUS,2018,2.0,3
AUS,2019,0.0,2
AUT,1972,4.0,7
AUT,1973,0.0,2
AUT,1974,0.0,1
AUT,1975,4.0,2
AUT,1976,0.0,4
AUT,1977,1.0,5
AUT,1978,0.0,1
AUT,1979,0.0,5
AUT,1980,0.0,2
AUT,1981,3.0,3
AUT,1982,0.0,11
AUT,1984,2.0,4
AUT,1985,4.0,4
AUT,1986,0.0,4
AUT,1987,0.0,4
AUT,1988,0.0,1
AUT,1989,3.0,2
AUT,1990,0.0,1
AUT,1991,0.0,3
AUT,1992,0.0,8
AUT,1994,0.0,5
AUT,1995,6.0,12
AUT,1996,0.0,4
AUT,1997,0.0,1
AUT,1998,0.0,1
AUT,2006,0.0,1
AUT,2007,0.0,1
AUT,2008,0.0,7
AUT,2009,1.0,3
AUT,2011,0.0,1
AUT,2013,0.0,1
AUT,2016,0.0,3
AUT,2017,2.0,1
AUT,2018,1.0,1
AZE,1991,26.0,3
AZE,1992,186.0,12
AZE,1994,30.0,11
AZE,1995,0.0,2
AZE,1996,2.0,2
AZE,1997,1.0,1
AZE,2000,0.0,1
AZE,2001,1.0,4
AZE,2002,0.0,1
AZE,2007,0.0,1
AZE,2008,5.0,2
AZE,2009,1.0,2
AZE,2014,0.0,3
AZE,2016,1.0,2
AZE,2017,5.0,2
AZE,2018,0.0,1
BDI,1991,117.0,7
BDI,1992,61.0,2
BDI,1994,265.0,16
BDI,1995,583.0,83
BDI,1996,1371.0,35
BDI,1997,386.0,79
BDI,1998,392.0,13
BDI,1999,108.0,13
BDI,2000,97.0,17
BDI,2001,166.0,37
BDI,2002,67.0,18
BDI,2003,116.0,18
BDI,2004,18.0,1
BDI,2005,13.0,5
BDI,2006,21.0,5
BDI,2007,3.0,3
BDI,2008,28.0,7
BDI,2010,14.0,29
BDI,2011,47.0,8
BDI,2012,6.0,4
BDI,2013,5.0,2
BDI,2014,4.0,5
BDI,2015,223.0,102
BDI,2016,74.0,83
BDI,2017,20.0,21
BDI,2018,36.0,10
BDI,2019,25.0,6
BEL,1970,0.0,1
BEL,1972,0.0,4
BEL,1973,0.0,1
BEL,1974,0.0,5
BEL,1976,0.0,1
BEL,1977,0.0,1
BEL,1978,1.0,8
BEL,1979,1.0,8
BEL,1980,2.0,8
BEL,1981,6.0,6
BEL,1982,0.0,1
BEL,1983,2.0,8
BEL,1984,0.0,10
BEL,1985,10.0,21
BEL,1986,0.0,3
BEL,1987,1.0,1
BEL,1988,1.0,5
BEL,1989,4.0,7
BEL,1990,2.0,2
BEL,1991,1.0,6
BEL,1992,1.0,9
BEL,1994,0.0,5
BEL,1995,0.0,1
BEL,1997,4.0,2
BEL,1998,0.0,3
BEL,1999,0.0,2
BEL,2002,0.0,3
BEL,2003,0.0,8
BEL,2007,0.0,1
BEL,2009,0.0,1
BEL,2012,1.0,1
BEL,2014,4.0,2
BEL,2016,36.0,6
BEL,2017,2.0,3
BEL,2018,4.0,3
BEL,2019,0.0,1
BEN,1992,0.0,1
BEN,1994,0.0,3
BEN,1995,0.0,1
BEN,1996,0.0,2
